9384 886
2777 915 793
8335 386 492
6649 421 362
27 690 59
7763 926 540
3426 172 736
5211 368 567
6429 782 530
2862 123 67
3135 929 802
4022 58 69
8167 393 456
5011 42 229
7373 421 919
3784 537 198
4324 315 370
6413 526 91
8980 956 873
6862 170 996
7281 305 925
7084 327 336
6505 846 729
1313 857 124
3895 582 545
8814 367 434
364 43 750
1087 808 276
7178 788 584
5403 651 754
2399 932 60
9676 368 739
12 226 586
8094 539 795
570 434 378
7467 601 97
2902 317 492
6652 756 301
280 286 441
3865 689 444
6619 440 729
8031 117 97
5771 481 675
709 927 567
7856 497 353
4586 965 306
4683 219 624
1528 871 732
8829 503 19
8270 368 708
6715 340 149
7796 723 618
2245 846 451
2921 555 379
7488 764 228
9841 350 193
1500 34 764
124 914 987
5856 743 491
2227 365 859
1936 432 551
6437 228 275
5407 474 121
8858 395 29
1237 235 793
5818 428 143
1011 928 529
8776 404 443
5763 613 538
8606 840 904
4818 128 688
7369 917 917
6996 324 743
9470 183 490
5499 772 725
5644 590 505
8139 954 786
7669 82 542
8464 197 507
9355 804 348
8611 622 828
9299 343 746
5568 340 422
3311 810 605
1801 661 730
4878 305 320
8736 444 626
8522 465 708
3416 282 258
2924 637 62
5624 600 36
3452 899 379
5550 468 71
973 131 881
4930 933 894
8660 163 199
7981 899 996
2959 773 813
9668 190 95
2926 466 84
1340 90 684
3376 542 936
9107 445 756
9179 418 887
9412 348 172
1659 9 336
5210 342 587
8206 301 713
7372 321 255
4819 599 721
9904 939 811
3940 667 705
6228 127 150
5984 658 920
9224 422 269
1396 81 630
84 292 972
7672 850 625
5385 222 299
6640 42 898
713 298 190
524 590 209
8581 819 336
7732 155 994
8004 379 769
5273 776 850
7255 860 142
5579 884 993
3205 621 567
2504 613 961
2754 326 259
8944 202 202
3506 784 21
2842 868 528
5189 872 908
9958 498 36
8808 753 248
3303 333 133
1648 890 754
7567 746 368
9529 500 46
3788 797 249
6990 303 33
5363 497 253
4892 686 125
1152 996 975
9188 157 729
5436 460 414
3921 460 304
28 27 50
6748 556 902
4794 697 699
1043 39 2
428 403 500
681 647 538
6159 151 535
2134 339 692
2215 127 504
5629 49 964
8285 429 343
6335 177 900
5238 971 949
289 367 988
2292 795 743
3144 829 390
1682 340 541
569 826 232
2261 42 360
9117 23 761
81 309 190
5425 996 367
4677 234 690
1626 524 57
9614 168 205
358 312 386
5100 346 726
4994 916 552
5578 529 946
2290 647 970
9051 80 631
8593 857 627
1312 886 214
8355 512 90
4412 479 610
8969 189 274
6355 641 620
5433 987 888
8338 566 770
7284 856 417
606 260 849
237 205 59
5217 518 945
783 873 458
873 637 289
483 607 478
2757 314 471
5729 100 459
3618 438 25
1388 74 233
8157 681 493
358 270 699
3417 839 569
8363 622 794
3173 847 431
7462 682 390
4292 791 57
5115 521 157
8574 491 947
2951 231 21
537 740 54
4030 98 325
1081 516 516
3002 231 139
1796 404 338
4580 218 21
3970 862 812
5379 977 685
1536 904 176
3483 207 759
4857 744 499
9911 127 950
5236 560 818
5105 563 49
1244 711 805
9934 291 375
8955 614 589
3768 993 918
2805 882 822
6982 717 30
3093 574 126
6593 486 253
543 74 814
4713 179 377
4762 775 88
2919 710 732
294 17 346
235 137 691
5153 943 573
6328 925 291
6710 18 217
6836 963 55
7090 858 130
4904 571 661
9633 685 789
3073 604 851
9805 250 868
6503 485 6
2195 639 949
1120 967 226
6763 677 596
3981 865 560
9036 955 770
3518 211 342
2532 196 379
7321 270 984
4172 427 234
2040 283 72
7398 830 63
347 950 30
573 714 59
7522 47 924
5082 435 232
9204 954 443
1898 486 640
4278 159 262
9262 683 41
9848 723 324
6272 122 154
7335 821 457
9365 747 171
1776 269 218
8701 703 653
9933 907 959
6728 806 797
8720 84 308
5334 698 991
6376 898 715
1052 171 189
1559 506 10
9016 224 109
6539 0 378
8109 53 81
9114 338 989
9426 67 147
5223 787 231
6532 122 281
3875 850 179
6590 254 350
1131 813 857
1494 181 81
4603 720 433
7982 181 487
9415 296 825
5404 722 892
551 297 32
9134 181 506
415 57 708
595 999 962
2297 483 776
154 977 309
2587 932 382
5021 266 563
8860 682 211
7685 86 285
930 990 583
7314 476 116
5820 892 525
5528 839 525
7490 136 360
9618 643 337
928 582 621
4310 955 888
4225 815 570
3437 853 8
7722 783 350
8657 97 827
9126 269 71
6651 149 910
528 639 398
1888 610 393
8577 890 976
5199 552 931
6087 777 99
657 566 952
7017 641 735
9368 298 184
3195 776 805
5266 428 954
2528 308 593
7278 197 555
9672 774 445
5000 325 997
8283 412 127
8382 421 693
9334 439 334
8421 159 985
2957 354 761
8762 972 541
7716 852 850
3662 482 399
6217 154 173
9015 506 851
6364 790 263
2491 172 37
3537 859 828
871 280 987
5856 590 341
3970 352 665
5511 69 517
7361 83 351
4112 300 506
1638 667 364
1489 32 154
6104 875 679
6141 412 538
4969 636 170
1956 844 760
6649 814 465
4314 326 886
183 39 969
1535 152 621
4393 790 289
109 631 673
4264 735 548
4295 877 313
6833 198 949
9355 155 793
8468 156 960
2933 823 286
3171 358 677
140 245 181
2761 990 323
50 100 954
1075 364 42
5624 659 919
6289 844 469
1238 551 976
5383 19 133
6343 304 956
5981 475 666
8011 967 912
192 729 902
6868 131 2
3174 207 718
5216 183 377
5487 472 573
8957 62 125
3933 797 496
3418 141 153
1726 474 980
5393 485 948
2305 30 29
9559 898 160
4562 424 719
4280 641 902
3010 480 726
7583 789 140
3708 723 938
2557 493 431
710 220 905
7690 613 391
3638 270 421
7667 829 671
6180 743 95
3899 24 88
9154 386 569
8232 969 710
2373 30 433
9663 587 279
94 649 499
2351 339 464
1742 330 86
7515 349 915
186 881 11
5634 133 387
2722 287 773
9643 519 742
5354 244 124
139 259 63
7418 353 712
5269 705 404
2733 799 734
4819 315 435
1087 853 669
2450 487 802
6837 562 89
3610 205 960
6704 911 557
9829 403 816
1892 821 522
3605 443 579
5361 528 378
4447 700 45
4882 787 899
5551 589 386
353 426 948
4794 36 506
7107 92 417
9664 921 820
8480 166 994
6354 123 437
2933 484 317
6312 931 17
6709 165 156
1608 69 745
2995 422 171
6295 569 559
4801 676 652
6571 340 925
1743 172 91
4089 527 566
8878 812 50
5196 124 333
4213 186 499
3370 794 568
5115 141 342
2639 437 263
3198 590 939
6202 513 631
5128 257 804
4571 346 683
8138 225 495
7540 421 972
7226 634 158
5725 356 952
7645 472 446
3339 111 883
7603 661 825
7542 216 339
9174 344 596
7330 267 294
2013 757 519
8860 650 292
7832 876 279
1990 953 635
9295 598 107
2741 937 570
4976 540 584
801 83 800
9492 609 496
6440 939 763
5735 304 873
