# tiempos tomados sin podas G, S y Z. Y sin promediar las muestras. 
n^2-k tiempo
9 0,00010900
9 0,00009300
9 0,00008900
9 0,00009300
9 0,00010600
9 0,00009200
9 0,00009200
9 0,00008400
9 0,00013100
9 0,00013000
9 0,00015900
9 0,00010700
9 0,00010700
9 0,00011300
9 0,00011500
8 0,00011800
8 0,00025000
8 0,00023200
8 0,00021800
8 0,00021700
8 0,00009300
8 0,00011200
8 0,00011000
8 0,00020100
8 0,00009600
8 0,00009500
8 0,00010300
8 0,00010100
8 0,00012800
8 0,00015100
7 0,00012800
7 0,00013400
7 0,00012600
7 0,00014000
7 0,00013100
7 0,00010400
7 0,00009500
7 0,00018900
7 0,00025000
7 0,00024500
7 0,00015000
7 0,00011200
7 0,00009600
7 0,00009000
7 0,00014500
6 0,00022700
6 0,00011100
6 0,00010100
6 0,00009800
6 0,00010100
6 0,00013500
6 0,00009200
6 0,00009100
6 0,00009100
6 0,00011100
6 0,00010200
6 0,00015300
6 0,00014900
6 0,00010400
6 0,00013400
5 0,00013100
5 0,00008300
5 0,00006400
5 0,00007000
5 0,00008600
5 0,00012200
5 0,00026500
5 0,00027600
5 0,00023500
5 0,00015300
5 0,00009800
5 0,00009500
5 0,00012000
5 0,00009500
5 0,00013200
4 0,00019800
4 0,00024000
4 0,00012900
4 0,00011600
4 0,00011000
4 0,00010100
4 0,00009400
4 0,00007900
4 0,00007900
4 0,00013200
4 0,00025300
4 0,00028200
4 0,00019600
4 0,00016300
4 0,00013300
3 0,00010200
3 0,00009900
3 0,00009700
3 0,00009600
3 0,00010300
3 0,00013600
3 0,00014800
3 0,00012700
3 0,00010900
3 0,00013700
3 0,00017900
3 0,00022100
3 0,00020900
3 0,00021800
3 0,00018000
2 0,00010800
2 0,00009800
2 0,00011400
2 0,00011800
2 0,00011700
2 0,00011200
2 0,00015100
2 0,00025800
2 0,00016600
2 0,00010000
2 0,00012200
2 0,00008900
2 0,00008400
2 0,00012000
2 0,00011300
1 0,00011000
1 0,00013100
1 0,00015200
1 0,00013800
1 0,00012100
1 0,00011400
1 0,00009600
1 0,00009500
1 0,00008500
1 0,00008300
1 0,00012800
1 0,00012400
1 0,00013200
1 0,00012000
1 0,00013600
0 0,00013900
0 0,00010100
0 0,00007700
0 0,00009100
0 0,00008600
0 0,00007500
0 0,00008200
0 0,00008800
0 0,00011400
0 0,00011200
0 0,00009800
0 0,00010100
0 0,00012000
0 0,00013300
0 0,00008100
16 0,00008500
16 0,00014000
16 0,00014000
16 0,00013400
16 0,00017900
16 0,00017300
16 0,00026200
16 0,00028000
16 0,00031100
16 0,00021100
16 0,00022500
16 0,00019900
16 0,00015700
16 0,00021600
16 0,00030600
15 0,00027400
15 0,00011400
15 0,00012400
15 0,00010900
15 0,00010700
15 0,00013300
15 0,00016900
15 0,00015600
15 0,00012200
15 0,00031300
15 0,00027000
15 0,00010000
15 0,00013300
15 0,00021000
15 0,00028100
14 0,00024300
14 0,00015900
14 0,00013000
14 0,00013000
14 0,00028400
14 0,00017600
14 0,00013100
14 0,00016100
14 0,00019100
14 0,00028800
14 0,00010000
14 0,00013300
14 0,00020800
14 0,00015000
14 0,00018100
13 0,00034700
13 0,00023500
13 0,00025600
13 0,00010500
13 0,00010500
13 0,00010600
13 0,00018700
13 0,00029700
13 0,00012400
13 0,00013900
13 0,00018000
13 0,00011000
13 0,00010600
13 0,00010900
13 0,00017200
12 0,00031800
12 0,00025900
12 0,00024600
12 0,00013300
12 0,00010000
12 0,00009800
12 0,00013400
12 0,00014900
12 0,00014100
12 0,00011600
12 0,00011900
12 0,00014000
12 0,00008900
12 0,00007800
12 0,00008600
11 0,00012300
11 0,00013400
11 0,00017900
11 0,00011900
11 0,00015100
11 0,00010600
11 0,00007900
11 0,00006800
11 0,00009800
11 0,00010700
11 0,00012000
11 0,00012900
11 0,00013800
11 0,00014000
11 0,00013800
10 0,00013600
10 0,00012400
10 0,00008500
10 0,00008300
10 0,00009500
10 0,00011000
10 0,00012800
10 0,00010500
10 0,00012400
10 0,00013000
10 0,00013500
10 0,00011600
10 0,00011900
10 0,00011700
10 0,00008400
9 0,00009000
9 0,00011300
9 0,00009000
9 0,00010700
9 0,00010900
9 0,00009000
9 0,00012700
9 0,00015700
9 0,00013000
9 0,00014800
9 0,00013200
9 0,00009100
9 0,00009600
9 0,00008500
9 0,00007500
8 0,00009900
8 0,00012700
8 0,00016500
8 0,00012400
8 0,00010800
8 0,00011500
8 0,00018700
8 0,00011700
8 0,00010400
8 0,00009200
8 0,00010600
8 0,00016700
8 0,00017200
8 0,00011800
8 0,00013200
7 0,00015400
7 0,00022400
7 0,00020800
7 0,00018500
7 0,00009600
7 0,00012300
7 0,00013500
7 0,00011800
7 0,00013100
7 0,00014000
7 0,00013300
7 0,00014300
7 0,00009800
7 0,00010100
7 0,00011000
6 0,00013700
6 0,00011800
6 0,00013800
6 0,00013100
6 0,00014200
6 0,00011900
6 0,00012100
6 0,00016000
6 0,00022500
6 0,00024700
6 0,00009600
6 0,00011500
6 0,00013100
6 0,00014500
6 0,00015100
5 0,00010700
5 0,00014100
5 0,00013600
5 0,00009200
5 0,00008300
5 0,00012600
5 0,00025100
5 0,00025100
5 0,00015500
5 0,00012600
5 0,00016300
5 0,00012600
5 0,00014100
5 0,00013300
5 0,00011300
4 0,00008700
4 0,00010800
4 0,00014200
4 0,00009800
4 0,00011500
4 0,00013100
4 0,00015300
4 0,00026500
4 0,00021000
4 0,00008900
4 0,00009400
4 0,00009600
4 0,00008800
4 0,00008500
4 0,00015200
3 0,00034100
3 0,00025200
3 0,00027200
3 0,00021100
3 0,00012900
3 0,00009300
3 0,00011100
3 0,00009600
3 0,00008900
3 0,00010200
3 0,00016100
3 0,00014300
3 0,00028100
3 0,00021300
3 0,00010700
2 0,00009500
2 0,00009000
2 0,00008400
2 0,00009600
2 0,00014900
2 0,00012200
2 0,00011800
2 0,00014100
2 0,00010900
2 0,00012600
2 0,00014700
2 0,00012100
2 0,00008700
2 0,00011500
2 0,00010400
1 0,00009700
1 0,00011200
1 0,00015400
1 0,00028500
1 0,00024000
1 0,00023900
1 0,00018700
1 0,00009500
1 0,00011300
1 0,00011100
1 0,00013700
1 0,00011600
1 0,00012900
1 0,00011500
1 0,00012800
0 0,00014000
0 0,00011000
0 0,00009100
0 0,00007700
0 0,00011300
0 0,00012600
0 0,00013900
0 0,00013400
0 0,00013000
0 0,00011500
0 0,00014700
0 0,00014700
0 0,00012500
0 0,00009100
0 0,00009200
25 0,00015200
25 0,00026400
25 0,00021700
25 0,00011000
25 0,00016000
25 0,00013900
25 0,00027400
25 0,00026300
25 0,00022100
25 0,00013400
25 0,00032000
25 0,00027900
25 0,00020400
25 0,00011300
25 0,00010600
24 0,00017100
24 0,00025500
24 0,00026500
24 0,00021500
24 0,00014100
24 0,00025400
24 0,00023700
24 0,00012900
24 0,00026700
24 0,00026800
24 0,00015700
24 0,00021200
24 0,00012700
24 0,00013500
24 0,00025400
23 0,00024200
23 0,00022700
23 0,00012600
23 0,00015800
23 0,00027500
23 0,00021700
23 0,00010600
23 0,00012500
23 0,00010600
23 0,00012600
23 0,00010900
23 0,00013500
23 0,00017800
23 0,00022700
23 0,00014500
22 0,00021800
22 0,00017900
22 0,00028800
22 0,00027500
22 0,00027000
22 0,00021300
22 0,00025600
22 0,00025700
22 0,00014300
22 0,00011600
22 0,00009700
22 0,00014200
22 0,00024000
22 0,00013700
22 0,00012600
21 0,00014700
21 0,00011000
21 0,00013600
21 0,00021800
21 0,00013400
21 0,00016600
21 0,00013200
21 0,00015500
21 0,00027700
21 0,00022200
21 0,00008600
21 0,00010500
21 0,00010700
21 0,00021300
21 0,00031900
20 0,00017700
20 0,00025300
20 0,00014800
20 0,00016700
20 0,00011400
20 0,00010700
20 0,00012400
20 0,00019000
20 0,00012100
20 0,00016900
20 0,00014200
20 0,00014300
20 0,00014900
20 0,00020900
20 0,00011300
19 0,00014700
19 0,00012400
19 0,00013700
19 0,00013200
19 0,00011600
19 0,00015700
19 0,00012000
19 0,00013100
19 0,00011000
19 0,00012900
19 0,00023500
19 0,00024800
19 0,00021600
19 0,00011600
19 0,00021600
18 0,00015400
18 0,00020500
18 0,00018500
18 0,00011500
18 0,00025600
18 0,00011400
18 0,00017300
18 0,00015600
18 0,00013100
18 0,00018800
18 0,00014600
18 0,00008900
18 0,00007100
18 0,00007800
18 0,00010000
17 0,00015400
17 0,00010700
17 0,00008700
17 0,00012100
17 0,00010100
17 0,00012500
17 0,00007200
17 0,00008400
17 0,00013300
17 0,00015000
17 0,00017300
17 0,00014900
17 0,00015500
17 0,00015100
17 0,00011000
16 0,00009500
16 0,00007000
16 0,00007900
16 0,00017000
16 0,00015200
16 0,00013800
16 0,00012600
16 0,00011600
16 0,00013500
16 0,00015800
16 0,00016700
16 0,00014200
16 0,00024300
16 0,00011400
16 0,00012000
15 0,00012700
15 0,00014100
15 0,00009200
15 0,00010400
15 0,00013200
15 0,00016700
15 0,00015100
15 0,00012500
15 0,00018700
15 0,00010700
15 0,00008800
15 0,00012000
15 0,00012700
15 0,00014700
15 0,00011500
14 0,00009600
14 0,00009200
14 0,00010600
14 0,00011700
14 0,00022200
14 0,00013000
14 0,00009900
14 0,00010600
14 0,00015200
14 0,00016600
14 0,00011400
14 0,00008000
14 0,00007800
14 0,00012500
14 0,00012800
13 0,00008200
13 0,00007000
13 0,00011800
13 0,00011700
13 0,00009800
13 0,00008300
13 0,00008800
13 0,00011400
13 0,00013300
13 0,00013800
13 0,00011900
13 0,00011000
13 0,00008400
13 0,00006800
13 0,00006400
12 0,00009000
12 0,00015900
12 0,00014200
12 0,00014900
12 0,00012500
12 0,00011000
12 0,00009000
12 0,00010900
12 0,00009800
12 0,00006800
12 0,00011500
12 0,00014800
12 0,00014600
12 0,00017900
12 0,00015400
11 0,00006800
11 0,00008900
11 0,00009000
11 0,00015500
11 0,00017100
11 0,00018200
11 0,00013900
11 0,00012600
11 0,00013900
11 0,00010800
11 0,00008900
11 0,00006500
11 0,00008200
11 0,00010900
11 0,00010300
10 0,00019300
10 0,00013900
10 0,00012200
10 0,00023900
10 0,00026700
10 0,00025500
10 0,00022100
10 0,00011800
10 0,00014600
10 0,00010400
10 0,00017400
10 0,00010300
10 0,00019200
10 0,00012800
10 0,00010900
9 0,00012400
9 0,00007700
9 0,00009600
9 0,00019300
9 0,00016400
9 0,00026300
9 0,00008300
9 0,00011200
9 0,00007600
9 0,00010300
9 0,00013300
9 0,00010100
9 0,00014200
9 0,00011800
9 0,00011500
8 0,00010700
8 0,00009700
8 0,00008400
8 0,00012000
8 0,00009900
8 0,00010600
8 0,00011200
8 0,00009100
8 0,00012400
8 0,00008900
8 0,00010100
8 0,00009000
8 0,00008500
8 0,00014900
8 0,00012400
7 0,00011400
7 0,00012800
7 0,00007900
7 0,00008000
7 0,00006600
7 0,00009200
7 0,00009000
7 0,00012800
7 0,00012600
7 0,00012400
7 0,00012100
7 0,00010900
7 0,00014100
7 0,00013500
7 0,00025100
6 0,00019000
6 0,00009800
6 0,00010100
6 0,00011800
6 0,00012900
6 0,00010000
6 0,00012800
6 0,00011000
6 0,00008600
6 0,00007100
6 0,00010100
6 0,00011800
6 0,00016700
6 0,00013300
6 0,00009800
5 0,00012800
5 0,00013100
5 0,00010700
5 0,00008500
5 0,00007200
5 0,00007500
5 0,00013300
5 0,00012600
5 0,00012700
5 0,00013000
5 0,00015600
5 0,00011500
5 0,00007600
5 0,00007700
5 0,00008000
4 0,00009400
4 0,00013900
4 0,00016000
4 0,00012600
4 0,00012300
4 0,00013700
4 0,00009400
4 0,00008600
4 0,00009200
4 0,00007800
4 0,00010300
4 0,00011200
4 0,00014700
4 0,00012600
4 0,00008900
3 0,00010500
3 0,00009900
3 0,00011700
3 0,00009100
3 0,00010300
3 0,00009500
3 0,00010700
3 0,00015800
3 0,00010900
3 0,00013300
3 0,00009100
3 0,00010500
3 0,00013000
3 0,00011400
3 0,00014000
2 0,00025200
2 0,00014300
2 0,00011800
2 0,00014200
2 0,00012100
2 0,00008400
2 0,00007900
2 0,00009200
2 0,00014200
2 0,00012500
2 0,00010700
2 0,00010700
2 0,00010700
2 0,00011900
2 0,00013900
1 0,00010500
1 0,00009800
1 0,00010400
1 0,00012100
1 0,00014900
1 0,00014300
1 0,00014500
1 0,00014400
1 0,00010900
1 0,00008700
1 0,00008400
1 0,00008900
1 0,00008300
1 0,00008200
1 0,00010000
0 0,00011900
0 0,00011500
0 0,00018200
0 0,00026000
0 0,00023000
0 0,00009700
