# Con podas G, S y Z. Muestras promediadas. Solo usando n=5
n^2-k tiempo
0 0,0001025333333333
1 0,0000870666666667
2 0,0001083333333333
3 0,0000941333333333
4 0,0001024000000000
5 0,0001047333333333
6 0,0001006000000000
7 0,0001054666666667
8 0,0001035333333333
9 0,0001036000000000
10 0,0000953333333333
11 0,0000970666666667
12 0,0000988000000000
13 0,0000933333333333
14 0,0000882666666667
15 0,0001030000000000
16 0,0000957333333333
17 0,0001046666666667
18 0,0001070666666667
19 0,0000922000000000
20 0,0001067333333333
21 0,0001063333333333
22 0,0000884000000000
23 0,0000950000000000
24 0,0000903333333333
